"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease","stateLong"
"2020-11-06","AK","A",84,84,0,NA,NA,NA,106,0,NA,NA,762602,-1050,NA,NA,761522,NA,7,18699,18699,525,0,NA,NA,NA,NA,19404,7122,NA,0,781301,-525,NA,NA,NA,NA,NA,0,781301,-525,"Alaska"
"2020-11-06","AL","A",3049,2839,23,210,21294,21294,1022,267,2110,NA,1217002,7161,NA,NA,NA,1220,NA,200714,170446,1556,0,NA,NA,NA,NA,NA,84471,NA,0,1387448,8341,NA,NA,65871,NA,NA,0,1387448,8341,"Alabama"
"2020-11-06","AR","A+",2056,1878,19,178,7401,7401,633,75,NA,235,1298264,12651,NA,NA,1298264,863,105,119230,108738,1870,0,NA,3300,NA,11961,NA,105746,NA,0,1407002,14097,NA,21856,NA,73502,NA,0,1407002,14097,"Arkansas"
"2020-11-06","AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1768,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1768,0,NA,NA,NA,NA,NA,0,1768,0,NA
"2020-11-06","AZ","A+",6109,5714,22,395,22018,22018,1082,187,NA,250,1593981,20120,NA,NA,NA,NA,138,254764,248330,1996,0,NA,NA,NA,NA,NA,42652,NA,0,1842311,15682,323662,NA,NA,NA,1842311,15682,NA,0,"Arizona"
"2020-11-06","CA","B",17866,NA,51,NA,NA,NA,3489,0,NA,923,18445255,123468,NA,NA,NA,NA,NA,951094,951094,6518,0,NA,NA,NA,NA,NA,NA,NA,0,19396349,129986,NA,NA,NA,NA,NA,0,19396349,129986,"California"
"2020-11-06","CO","A",2158,NA,11,NA,9714,9714,1016,96,NA,NA,1173474,11264,173088,NA,NA,NA,NA,121006,113607,3369,0,13913,NA,NA,NA,NA,8366,2141933,32819,2141933,32819,187001,NA,NA,NA,1287081,14587,NA,0,"Colorado"
"2020-11-06","CT","B",4671,3757,15,914,12257,12257,402,0,NA,NA,2356349,0,NA,NA,NA,NA,NA,78125,73206,1065,0,NA,NA,NA,NA,NA,9800,NA,0,2434474,1065,NA,26512,NA,NA,NA,0,2428610,0,"Connecticut"
"2020-11-06","DC","A+",652,NA,2,NA,NA,NA,79,0,NA,25,528531,5711,NA,NA,NA,NA,9,17792,NA,110,0,NA,NA,NA,NA,NA,13738,546323,5821,546323,5821,NA,NA,NA,NA,264455,1626,NA,0,"District of Columbia"
"2020-11-06","DE","A+",716,629,0,87,NA,NA,114,0,NA,27,334846,2213,NA,NA,NA,NA,NA,26035,24835,282,0,NA,NA,NA,NA,27700,13766,577122,3331,577122,3331,NA,NA,NA,NA,360881,2495,NA,0,"Delaware"
"2020-11-06","FL","A",17224,17224,54,NA,50868,50868,2564,198,NA,NA,5504450,29721,531822,517552,8179656,NA,NA,821526,779662,5150,0,62323,NA,60854,NA,1061448,NA,10405346,76349,10405346,76349,594540,NA,578706,NA,6325976,34871,9288035,59562,"Florida"
"2020-11-06","GA","A+",8608,8156,30,452,32317,32317,1848,100,6075,NA,3321627,17835,NA,NA,3345637,NA,NA,370106,370106,1738,0,30818,NA,NA,32321,346096,NA,NA,0,3691733,19573,336077,NA,NA,NA,NA,0,3691733,19573,"Georgia"
"2020-11-06","GU","A",88,NA,3,NA,NA,NA,86,0,NA,21,66027,564,NA,NA,NA,NA,10,5077,4998,73,0,7,79,NA,NA,NA,3403,NA,0,71104,637,209,699,NA,NA,71025,631,70403,615,NA
"2020-11-06","HI","B",219,NA,0,NA,1138,1138,68,13,NA,13,295153,0,NA,NA,NA,NA,9,15785,15572,99,0,NA,NA,NA,NA,15520,11958,551803,4470,551803,4470,NA,NA,NA,NA,308090,0,NA,0,"Hawaii"
"2020-11-06","IA","A+",1818,NA,16,NA,NA,NA,912,0,NA,188,788507,2835,NA,64555,NA,NA,67,133510,133510,2778,0,NA,NA,3987,11106,NA,99243,NA,0,922017,5613,NA,NA,68582,90450,923705,5609,NA,0,"Iowa"
"2020-11-06","ID","A",671,622,7,49,2788,2788,296,58,568,77,338656,2160,NA,NA,NA,NA,NA,69579,60065,1265,0,NA,NA,NA,NA,NA,31574,NA,0,398721,3045,NA,17332,NA,NA,398721,3045,543322,4301,"Idaho"
"2020-11-06","IL","A",10397,10079,84,318,NA,NA,4090,0,NA,786,7749589,80352,NA,NA,NA,NA,339,465540,447491,11790,0,NA,NA,NA,NA,NA,NA,NA,0,8215129,92142,NA,NA,NA,NA,NA,0,8215129,98401,"Illinois"
"2020-11-06","IN","A+",4547,4306,36,241,18005,18005,2001,207,3477,540,1576282,10511,NA,NA,NA,NA,191,200823,NA,4647,0,NA,NA,NA,NA,191092,130248,NA,0,3117069,43214,NA,NA,NA,NA,1777105,15158,3117069,43214,"Indiana"
"2020-11-06","KS","A+",1166,NA,79,NA,4067,4067,693,83,1122,183,578687,7222,NA,NA,NA,337,62,97633,NA,5418,0,NA,NA,NA,NA,NA,2808,NA,0,676320,12640,NA,NA,NA,NA,676320,12640,NA,0,"Kansas"
"2020-11-06","KY","B",1544,1520,10,24,7708,7708,1153,127,1922,299,2079371,166478,NA,NA,NA,NA,NA,117505,98138,2228,0,NA,NA,NA,NA,NA,20926,NA,0,2177509,168192,87275,71347,NA,NA,NA,0,2177509,168192,"Kentucky"
"2020-11-06","LA","A",6016,5787,21,229,NA,NA,644,0,NA,NA,2674761,17940,NA,NA,NA,NA,81,191715,186695,870,0,NA,NA,NA,NA,NA,172210,NA,0,2866476,18810,NA,NA,NA,NA,2861456,18810,NA,0,"Louisiana"
"2020-11-06","MA","A+",10106,9880,21,226,13373,13373,513,0,NA,118,2690585,18652,NA,NA,NA,NA,57,167274,162736,2113,0,NA,NA,11842,NA,209659,131646,NA,0,6547668,86357,NA,NA,128053,200056,2853321,20690,6547668,86357,"Massachusetts"
"2020-11-06","MD","A",4194,4046,12,148,17537,17537,609,102,NA,152,1851665,11606,NA,136605,NA,NA,NA,151505,151505,1541,0,NA,NA,14048,NA,182511,8262,NA,0,3587697,35366,NA,NA,150653,NA,2003170,13147,3587697,35366,"Maryland"
"2020-11-06","ME","A+",150,149,0,1,513,513,37,3,NA,14,668621,8031,11868,NA,666689,NA,3,7444,6565,184,0,367,25,NA,NA,8110,5830,NA,0,676065,8215,12247,42,NA,NA,NA,0,675186,8179,"Maine"
